Time(s),Initial_Profile,Profile_iter_1,Profile_iter_2
461,0.08329772845411587,0.08554256367759622,0.08719596856401252
462,0.08329772845411582,0.08554256367759627,0.08719596856401252
463,0.08329772845411593,0.08554256367759616,0.08719596856401263
464,0.08329772845411598,0.08554256367759627,0.08719596856401252
465,0.08329772845411598,0.08554256367759605,0.08719596856401257
466,0.08329772845411582,0.08554256367759627,0.08719596856401268
467,0.08329772845411593,0.0855425636775961,0.08719596856401257
468,0.08329772845411582,0.08554256367759616,0.08719596856401235
469,0.08329772845411593,0.08554256367759622,0.08719596856401235
470,0.08329772845411593,0.08554256367759605,0.08719596856401263
471,0.08329772845411576,0.08554256367759616,0.08719596856401246
472,0.08329772845411582,0.08554256367759608,0.08719596856401274
473,0.0832977284541159,0.0855425636775965,0.08719596856401235
474,0.08329772845411598,0.08554256367759616,0.08719596856401268
475,0.08329772845411587,0.08554256367759608,0.08719596856401238
476,0.08329772845411576,0.08554256367759641,0.08719596856401257
