Time(s),Initial_Profile,Profile_iter_1,Profile_iter_2,Profile_iter_3,Profile_iter_4,Profile_iter_5,Profile_iter_6,Profile_iter_7,Profile_iter_8,Profile_iter_9,Profile_iter_10,Profile_iter_11,Profile_iter_12,Profile_iter_13,Profile_iter_14,Profile_iter_15,Profile_iter_16,Profile_iter_17,Profile_iter_18,Profile_iter_19,Profile_iter_20
682,0.5164390057013806,0.5164390057013806,0.5188094019424763,0.5188094019424765,0.5188094019424765,0.5214336602774976,0.5214336602774976,0.5214336602774976,0.5243053921680727,0.5243053921680727,0.5243053921680727,0.5275371850624211,0.5275371850624213,0.5275371850624218,0.5311907001929823,0.5311907001929823,0.5311907001929823,0.5311907001929823,0.5311907001929823,0.5353302536751419,0.5353302536751419
683,0.3040405340042871,0.3040405340042871,0.306388884246767,0.306388884246767,0.306388884246767,0.308987515860077,0.308987515860077,0.30898751586007744,0.31187443022708017,0.3118744302270806,0.3118744302270806,0.3150748139519193,0.3150748139519193,0.3150748139519193,0.31869820565244344,0.31869820565244344,0.31869820565244344,0.31869820565244344,0.31869820565244344,0.32283127586614757,0.32283127586614757
684,0.09734266167094452,0.09734266167094452,0.09969560793188181,0.09969560793188181,0.09969560793188181,0.10226861282347999,0.10226861282347999,0.10226861282347999,0.10512760601994486,0.10512760601994486,0.10512760601994486,0.10833968422223972,0.10833968422223972,0.10833968422224016,0.11192703987726471,0.11192703987726516,0.11192703987726516,0.11192703987726516,0.11192703987726516,0.11604493117723935,0.11604493117723935
685,-0.10020254658466143,-0.10020254658466143,-0.097854766845487,-0.097854766845487,-0.09785476684548655,-0.09527758116490048,-0.09527758116490004,-0.09527758116490004,-0.09244784172539466,-0.09244784172539466,-0.09244784172539466,-0.08925650727500312,-0.08925650727500312,-0.08925650727500312,-0.08567141684969704,-0.08567141684969704,-0.08567141684969704,-0.08567141684969704,-0.08567141684969704,-0.08159576693199933,-0.08159576693199933
686,-0.2827618882506997,-0.2827618882506997,-0.280437691041435,-0.280437691041435,-0.280437691041435,-0.2778670676743167,-0.2778670676743167,-0.2778670676743167,-0.2750374228811687,-0.2750374228811687,-0.2750374228811687,-0.27187927706385184,-0.27187927706385184,-0.2718792770638514,-0.26830226445356975,-0.2683022644535693,-0.2683022644535693,-0.2683022644535693,-0.2683022644535693,-0.2642505984516703,-0.2642505984516703
687,-0.4632262084240133,-0.46322620842401285,-0.46092456116323444,-0.460924561163234,-0.460924561163234,-0.4583813783643458,-0.4583813783643458,-0.4583813783643458,-0.45555496559168596,-0.45555496559168596,-0.45555496559168596,-0.45240599277854976,-0.45240599277854976,-0.45240599277854976,-0.44886687601708086,-0.44886687601708086,-0.44886687601708086,-0.44886687601708086,-0.44886687601708086,-0.4448093758971927,-0.4448093758971927
688,-0.6437439768790236,-0.6437439768790236,-0.641416077866833,-0.641416077866833,-0.641416077866833,-0.6388958810567948,-0.6388958810567948,-0.6388958810567948,-0.6361007701325194,-0.6361007701325194,-0.6361007701325194,-0.6329458410234352,-0.6329458410234352,-0.6329458410234348,-0.6294316795830115,-0.629431679583011,-0.629431679583011,-0.629431679583011,-0.629431679583011,-0.6254131215134575,-0.6254131215134575
689,-0.8201689220897304,-0.8201689220897304,-0.8178664314263651,-0.8178664314263651,-0.8178664314263651,-0.8153209422344838,-0.8153209422344838,-0.8153209422344838,-0.812553751429048,-0.812553751429048,-0.812553751429048,-0.8094342239364305,-0.8094342239364305,-0.8094342239364305,-0.8059036599046381,-0.8059036599046381,-0.8059036599046381,-0.8059036599046376,-0.8059036599046376,-0.8019292146984125,-0.8019292146984125
690,-0.9953663612000947,-0.9953663612000947,-0.9930892788855556,-0.9930892788855556,-0.9930892788855556,-0.9905733932619059,-0.9905733932619059,-0.9905733932619059,-0.9877792266252345,-0.9877792266252345,-0.9877792266252341,-0.984695100749083,-0.9846951007490825,-0.9846951007490825,-0.9811994382159883,-0.9811994382159883,-0.9811994382159883,-0.9811994382159883,-0.9811994382159883,-0.9772178017830246,-0.9772178017830246
691,-1.133986081283345,-1.133986081283345,-1.1317050331388798,-1.1317050331388798,-1.1317050331388798,-1.1292187510834624,-1.1292187510834624,-1.1292187510834624,-1.126455398277899,-1.126455398277899,-1.126455398277899,-1.1233488843558703,-1.1233488843558703,-1.1233488843558703,-1.1198934856169829,-1.1198934856169829,-1.1198934856169829,-1.1198934856169824,-1.1198934856169824,-1.1159254300653347,-1.1159254300653347
692,-1.2517002473289127,-1.2517002473289127,-1.249416810016753,-1.249416810016753,-1.2494168100167526,-1.2469249874967223,-1.2469249874967219,-1.2469249874967219,-1.2441953926174298,-1.2441953926174298,-1.2441953926174298,-1.2411108092371734,-1.2411108092371734,-1.2411108092371734,-1.2376484116096804,-1.2376484116096804,-1.2376484116096804,-1.2376484116096804,-1.2376484116096804,-1.2337269537273532,-1.2337269537273532
693,-1.364700067453183,-1.364700067453183,-1.3624441851521296,-1.3624441851521296,-1.3624441851521296,-1.3599529005864528,-1.3599529005864528,-1.3599529005864528,-1.3572210410356655,-1.3572210410356655,-1.3572210410356655,-1.3541745413716364,-1.3541745413716364,-1.354174541371636,-1.3507175340061806,-1.35071753400618,-1.35071753400618,-1.35071753400618,-1.35071753400618,-1.3468141314680748,-1.3468141314680748
694,-1.4777000531201216,-1.4777000531201216,-1.475471725830174,-1.475471725830174,-1.475471725830174,-1.4730125941237247,-1.4730125941237247,-1.4730125941237247,-1.4702779804293828,-1.4702779804293828,-1.4702779804293828,-1.4672384390487667,-1.4672384390487667,-1.4672384390487667,-1.463824607837204,-1.463824607837204,-1.463824607837204,-1.463824607837204,-1.463824607837204,-1.4599014747514656,-1.4599014747514656
