Time(s),Initial_Profile,Profile_iter_1,Profile_iter_2,Profile_iter_3
620,0.08359080746832791,0.08561193166977732,0.08734899732546049,0.08976272813249396
621,0.08359080746832777,0.0856119316697772,0.08734899732546035,0.08976272813249404
622,0.08359080746832769,0.08561193166977729,0.08734899732546038,0.08976272813249389
623,0.08359080746832784,0.08561193166977724,0.08734899732546035,0.08976272813249402
624,0.08359080746832785,0.0856119316697773,0.0873489973254605,0.089762728132494
625,0.0835908074683278,0.08561193166977725,0.08734899732546031,0.08976272813249413
626,0.08359080746832785,0.0856119316697772,0.08734899732546057,0.08976272813249404
627,0.08359080746832777,0.08561193166977717,0.0873489973254603,0.08976272813249396
628,0.08359080746832787,0.08561193166977722,0.08734899732546042,0.08976272813249399
629,0.08359080746832785,0.08561193166977707,0.08734899732546056,0.089762728132494
630,0.08359080746832791,0.08561193166977725,0.08734899732546036,0.08976272813249404
631,0.08359080746832774,0.08561193166977718,0.08734899732546053,0.08976272813249404
632,0.08359080746832774,0.08561193166977714,0.08734899732546049,0.08976272813249403
633,0.08359080746832792,0.08561193166977721,0.0873489973254604,0.08976272813249396
634,0.08359080746832785,0.08561193166977728,0.08734899732546043,0.08976272813249389
635,0.0835908074683279,0.08561193166977722,0.08734899732546036,0.08976272813249404
636,0.08359080746832774,0.08561193166977715,0.0873489973254604,0.08976272813249392
637,0.08359080746832787,0.08561193166977729,0.08734899732546043,0.08976272813249385
638,0.08359080746832791,0.08561193166977732,0.08734899732546048,0.08976272813249397
639,0.08359080746832777,0.08561193166977724,0.0873489973254604,0.0897627281324941
640,0.08359080746832787,0.08561193166977712,0.08734899732546042,0.08976272813249402
641,0.08359080746832782,0.0856119316697772,0.08734899732546045,0.08976272813249395
642,0.08359080746832771,0.08561193166977711,0.08734899732546034,0.08976272813249386
643,0.0835908074683278,0.08561193166977721,0.08734899732546064,0.089762728132494
644,0.08359080746832812,0.08561193166977744,0.0873489973254604,0.08976272813249375
645,0.08359080746832774,0.08561193166977721,0.0873489973254604,0.08976272813249372
646,0.08359080746832798,0.0856119316697776,0.08734899732546059,0.08976272813249371
647,0.08359080746832764,0.08561193166977746,0.08734899732546028,0.08976272813249365
648,0.08359080746832775,0.08561193166977762,0.08734899732546046,0.08976272813249378
649,0.08359080746832782,0.08561193166977735,0.0873489973254605,0.08976272813249386
650,0.08359080746832778,0.08561193166977737,0.08734899732546056,0.08976272813249371
651,0.08359080746832784,0.08561193166977739,0.0873489973254603,0.08976272813249389
652,0.08359080746832778,0.08561193166977749,0.08734899732546025,0.08976272813249395
653,0.08359080746832771,0.0856119316697774,0.0873489973254606,0.08976272813249368
654,0.08359080746832766,0.08561193166977756,0.0873489973254606,0.08976272813249374
655,0.08359080746832764,0.08561193166977725,0.08734899732546025,0.08976272813249374
656,0.08359080746832781,0.0856119316697774,0.08734899732546064,0.08976272813249364
657,0.08359080746832767,0.08561193166977743,0.08734899732546032,0.08976272813249377
658,0.08359080746832771,0.08561193166977757,0.08734899732546036,0.08976272813249357
659,0.08359080746832771,0.0856119316697776,0.08734899732546063,0.0897627281324936
660,0.0835908074683277,0.08561193166977747,0.08734899732546067,0.08976272813249375
661,0.08359080746832762,0.08561193166977749,0.08734899732546056,0.08976272813249397
662,0.08359080746832777,0.08561193166977762,0.08734899732546052,0.08976272813249374
663,0.08359080746832777,0.0856119316697775,0.08734899732546061,0.08976272813249381
664,0.08359080746832769,0.0856119316697774,0.08734899732546017,0.08976272813249385
665,0.08359080746832784,0.08561193166977743,0.0873489973254604,0.08976272813249364
666,0.08359080746832782,0.08561193166977756,0.08734899732546024,0.08976272813249357
667,0.0835908074683278,0.08561193166977729,0.08734899732546028,0.08976272813249361
668,0.08359080746832799,0.08561193166977754,0.08734899732546036,0.0897627281324939
669,0.08359080746832798,0.08561193166977732,0.08734899732546059,0.08976272813249375
670,0.08359080746832781,0.08561193166977718,0.0873489973254602,0.08976272813249388
671,0.08359080746832764,0.08561193166977746,0.0873489973254605,0.08976272813249393
672,0.08359080746832767,0.08561193166977743,0.08734899732546048,0.0897627281324937
673,0.08359080746832798,0.08561193166977746,0.08734899732546061,0.08976272813249384
674,0.08359080746832795,0.08561193166977728,0.08734899732546031,0.08976272813249375
675,0.08359080746832778,0.08561193166977729,0.08734899732546025,0.0897627281324937
